;meta[language=ru]
; id      |key(hex)|key(str)| text
2114670650|00000000||Мне нужен свежий воздух.
2114670651|00000000||Письмо?
2114670652|00000000||Регис… Просто пытается избежать схватки, защитить её.
2114670653|00000000||Что ж, мне стоит проверить приют.
2114670654|00000000||Идите домой. Я ведьмак. Нужно осмотреть тело.
2114670662|00000000||Я слышал, что стражники ищут Ориану.
2114670663|00000000||Вот бы они поймали этого монстра, или кто она там на самом деле!
2114670655|00000000||Здесь женщина повернула назад.
2114670656|00000000||Думаю, она искала Региса. Но его давно здесь нет.
2114670657|00000000||Рыбаки наверняка что-то знают.
2114670658|00000000||Следы ведут к этому дому.
2114670659|00000000||Дом выглядит жилым… Но никаких следов его обитателей. Пожалуй, мне стоит осмотреться.
2114670660|00000000||Интересно… Регис может оказаться прав.
2114670661|00000000||Нужно спрятаться, посмотреть, как все закончится…
2114670700|00000000||Трисс?! Я должен поговорить с ней.
2114670705|00000000||Я размышляла о нас.
2114670706|00000000||Я ищу…
2114670707|00000000||Я не Йеннифэр, Геральт. Но я могу быть как Йеннифэр!
2114670708|00000000||Ну, что скажешь?
2114670709|00000000||Ты меня не любишь..
2114670710|00000000||Осознаешь ли ты, что одно моё слово - и ты будешь выть от боли!
2114670711|00000000||Я твой кошмар!
2114670720|00000000||[Убить.]
2114670721|00000000||[Пощадить.]
2114670722|00000000||Это твоих рук дело?
2114670723|00000000||Да пошёл ты!
2114670724|00000000||Помоги мне, и я буду тебе должен.
2114670725|00000000||Да.
2114670726|00000000||Нет.
2114670727|00000000||Геральт, прошу…
2114670729|00000000||Я, должно быть, сошел с ума…
2114670730|00000000||Я предупреждал тебя. Не мочись против ветра - добром это не кончится.
2114670731|00000000||В этот раз ты помочился против торнадо.
2114670732|00000000||Если ты начнешь творить глупости, они намажут тебе лицо медом и положат в муравейник, и ты будешь выть так громко, что услышат даже всадники бурь.
2114670733|00000000||Вы призраки?
2114670734|00000000||Прошу прощения, мой друг…
2114670735|00000000||Ты хочешь отдать свою душу ради этого?
2114670736|00000000||Тогда у тебя нет того, что мне нужно.
2114670737|00000000||Это твоих рук дело?
2114670738|00000000||Ты так говоришь, а я все жду, жду... И ничего...
2114670739|00000000||Да пошёл ты!
2114670740|00000000||Роковая ошибка.
2114670755|00000000||Ведьмак.
2114670756|00000000||Просто проходил мимо.
2114670757|00000000||Вампир из Ривии.
2114670758|00000000||Договорились.
2114670759|00000000||Почему вы интересуетесь детьми?
2114670761|00000000||Ориана убьёт вас.
2114670762|00000000||А ты ещё кто такой?!
2114670763|00000000||Я? Приблуда, чужак, мутант... Но бывает и по имени. Вампир из Ривии.
2114670764|00000000||Очень смешно, кретин…
2114670765|00000000||Просто путешественник, говоришь… И просто два меча за спиной? Похоже, ты умеешь ими махать.
2114670766|00000000||Ведьмак? Значит ты можешь выследить кого угодно, верно?
2114670767|00000000||Ну заходи, будем говорить с тобой.
2114670784|00000000||Я ищу рыжеволосую женщину.
2114670769|00000000||Это интересно. Потому что мы тоже её здесь ожидаем.
2114670770|00000000||Зачем она вам?
2114670771|00000000||У нашего лидера есть вопросы к ней насчёт приюта и детей.
2114670772|00000000||Приют был атакован, и почти никто из детей не выжил.
2114670773|00000000||Почти - хорошо сказано, значит кто-то да жив. И мы точно знаем, что сама Ориана в полном порядке.
2114670774|00000000||Но она не хочет здесь появляться. Значит, что-то тут не так. Нас мало, и мы караулим те места, которые Ориана раньше посещала.
2114670783|00000000||Возможно, ты мог бы нам помочь, и тогда наш лидер Барон Эдвард даст тебе щедрую награду.
2114670775|00000000||С какой целью вы интересуетесь детьми?
2114670776|00000000||А вот это уже не твоё дело.
2114670777|00000000||Ориана убьёт вас. Она монстр, а не человек. И только я могу помочь. То есть мне нужно больше сведений.
2114670778|00000000||У меня нет ответов на все вопросы, поговори об этом с нашим лидером.
2114670779|00000000||Вы посмотрите-ка, приблуда отдаёт нам приказы…  Надо ему показать, где его место! Бей его!
2114670781|00000000||По рукам. Где я могу найти его?
2114670782|00000000||Мы разбили лагерь на берегу озера Сид Ллигад, недалеко от древнего амфитеатра.
2114670790|00000000||Ха-ха-ха, катись отсюда, приблуда!
2114670791|00000000||Если надумаешь помочь - наш лагерь находится на берегу озера Сид Ллигад, недалеко от древнего амфитеатра.
2114670795|00000000||Интересно. Сын бандита в когтях вампира…
2114670796|00000000||Ты чего там бормочешь? Иди и поговори с Бароном.
2114670800|00000000||Теперь ты мне ответишь?
2114670801|00000000||Барон будет недоволен… Ладно, я расскажу тебе, что знаю.
2114670802|00000000||Несколько лет назад наш главарь, Барон Эдвард, посетил Туссент, где встретил прекрасную девушку.
2114670803|00000000||И у них родился маленький мальчик.
2114670804|00000000||Барон отправился с нами в дальние земли, где нашу команду поредили батальоны Нильфов.
2114670805|00000000||Ну, я бы не сказал, что Барон особо любил ту девушку, иначе бы не покинул её. Однако недавно он сообщил нам, что мы снова должны посетить Туссент.
2114670806|00000000||По прибытии мы узнали, что она погибла из-за какой-то болезни около года назад. А мальчика отправили в приют, к этой Оринне.
2114670807|00000000||Но мы не смогли найти ни мальчика, ни саму Ориану.
