;meta[language=en]
; id      |key(hex)|key(str)| text
2114670013|00000000||Agneta
2114670014|00000000||Niellan
2114670015|00000000||Eredin
2114670016|00000000||Triss
2114670017|00000000||Baron Edward
2114670018|00000000||Baron'un haydutu
2114670019|00000000||Baron'un haydutu
2114670020|00000000||Baron'un haydutu
2114670021|00000000||Baron'un haydutu
2114670022|00000000||Baron'un haydutu
2114670023|00000000||Baron'un haydutu
2114670024|00000000||Su cadısı
2114670025|00000000||Orianna
2114670026|00000000||Orianna
2114670027|00000000||Orianna
2114670028|00000000||Orianna'yı ararken Geralt, sıradan korsanlara benzeyen bir grup "asil insanın" lideri olan Baron Edward ile tanıştı. Görünüşe rağmen, Baron Edward trajik bir durumdan rahatsız olan onurlu bir adam izlenimi verdi. <br> <br> Ne yazık ki ölen sevgilisiyle yeniden bir araya gelmek için Toussaint'e geldi. Şimdi Baron, Orianna'nın yetimhanesine götürülen oğlunu bulmaya kararlıydı. Orianna, çocuğu "gerçek babaya" vermeye istekli değildi ve hatta astı Alfred'i öldürdü. Baron Edward, Witcher'dan kızıl saçlı şeytanın intikamını almak için yardım istedi.<br><br>
2114670029|00000000||Baron başlangıçta Geralt'ın Orianna'yı öldürmesinden memnundu, ancak Geralt onu kendi oğlu Niellan'ı büyütmeye uygun olmadığını ilan ettikten sonra öfkelendi. Baron Edward, Witcher'ı düelloya davet ederek asilce olsa da büyükl bir hata yaptı. Ölümünden önce oğlu için dökülen kanın sona ermesini istedi. Son nefesinde Geralt'tan kılıcını oğlunun yadigarı olarak almasını istedi. <br> <br>
2114670030|00000000||Baron, Geralt'ın Orianna'yı öldürmesinden memnun kaldı ve oğlunun zarar görmediğini öğrendiğinde minnettar oldu. Orianna'nın sadece oğlunu değil bir kızı da barındırdığını öğrenince şaşırdı. Geralt'a çocukları birbirlerinden ayırmayacağına söz verdi. Baron Edward, söz verilen ödülü Witcher'a verdi ve Toussaint'i çocuklarla birlikte terk etti. <br> <br>
2114670031|00000000||Baron, Witcher'ın Orianna'nın zarar görmeden gitmesine izin vermesine çok kızmıştı. Baron ve adamları öfkeyle saldırdı ve Geralt, kumu kanlarıyla boyamak zorunda kaldı. Bu, Baron Edward ve grubu için hikayenin sonuydu. <br> <br>
2114670032|00000000||Baron, Witcher'ın Orianna'nın zarar görmeden gitmesine izin vermesine çok kızmıştı. Baron ve adamları öfkeyle saldırdı ve Geralt, kumu kanlarıyla boyamak zorunda kaldı. Bu, Baron Edward ve grubu için hikayenin sonuydu. Sağ kolu Tyberius liderliğindeki çete Toussaint'ten ayrıldı. <br> <br>
2114670033|00000000||Baron Edward
2114670034|00000000||MOD questgroup_ntr Quests
2114670035|00000000||Cadının izlerini takip etmek için Efsunger Duyularını kullan.
2114670036|00000000||Duvarın arkasındaki yeri kontrol et.
2114670037|00000000||Su cadısını öldür.
2114670038|00000000||Triss'i yen.
2114670039|00000000||Triss ile konuş.
2114670040|00000000||Corvo Bianco'da gece yarısına kadar bekleyin.
2114670041|00000000||Eski dostum Geralt, kendisini intikam ve kefaretle dolu bir ölüm kalım planının merkezinde buldu. Tesham Mutna harabelerine nasıl vardığını söyleyemedi, ancak Witcher  tehlikeli bir su cadısnın peşinde koştuğu için önemli değildi.
2114670042|00000000||Geralt canavarı mağlup etti, ama öldüremedil - su cadısı, sefil sümüksü hayatına yapışarak kaçtı. Witcherı başladığı işi bitirmek için onun kanının izini sürdü.
2114670043|00000000||Geralt su cadısını  takip ederken, Triss'le karşılaştı. Bu saatte burada ne arıyor olabilir? <br>
2114670044|00000000||Tuhaf bir dizi korkunç manzaranın ardından Geralt sonunda sefil kabusundan uyandı.
2114670045|00000000||Kabusların Gecesi
2114670046|00000000||(İsteğe bağlı) Haydut kampının yakınındaki amfitiyatroyu araştır.
2114670047|00000000||Haydut kampına gidin ve Baron Edward ile konuş.
2114670048|00000000||Haydutları yumruk dövüşünde yen.
2114670049|00000000||Orianna'nın odasına bak.
2114670050|00000000||Orianna'nın yetimhanesine bak.
2114670051|00000000||Biraz temiz hava almak için dışarı çık.
2114670052|00000000||Mektubu oku.
2114670053|00000000||Baykuşun yanındaki mektubu al.
2114670054|00000000||(İsteğe bağlı) Evi araştırmak için Wfsungerr Duyularını kullan.
2114670055|00000000||Horozbaş hanı yakınındaki nehir kenarını araştırın.
2114670056|00000000||Efsunger Duyularınızı kullanarak ayak izlerini takip edin.
2114670057|00000000||Baron'un adamlarını yen.
2114670058|00000000||Baron Edward'ı yen.
2114670059|00000000||Orianna'yı yen.
2114670060|00000000||(İsteğe bağlı) Orianna'nın günlüğünü oku.
2114670061|00000000||Orianna'yı evin dışında bekle.
